,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
160,Victoria 53,Brisbane,9.5,Exceptional ,32 reviews,2.2 km from centre,Not Travel Sustainable,"Featuring garden views, Victoria 53 provides accommodation with a terrace and a balcony, around 1.6 km from Suncorp Stadium. "
161,Hill Haven,"West End, Brisbane",9.3,Superb ,10 reviews,2.5 km from centre,Not Travel Sustainable,"Located in Brisbane, 1.9 km from Brisbane Convention & Exhibition Centre and 2.1 km from Southbank Station, Hill Haven provides accommodation with free WiFi, air conditioning and a garden. "
162,AU1 - Aurora Skyscraper CBD For Business or Pleasure,"Brisbane CBD, Brisbane",8.5,Very good ,18 reviews,0.9 km from centre,Not Travel Sustainable,"Offering a fitness centre and a garden, as well as a terrace, AU1 - Aurora Skyscraper CBD For Business or Pleasure is located in the centre of Brisbane, 600 metres from Brisbane Central Station. "
163,Bridge and River Views,"Brisbane CBD, Brisbane",9.1,Superb ,17 reviews,1.4 km from centre,Not Travel Sustainable,"Located in centre of Brisbane, Bridge and River Views features accommodation with an outdoor swimming pool, river views, as well as a fitness centre and a terrace. "
164,SK2 - CHARMING Skyline CBD w River Views 3 BR Private Apartment,"Brisbane CBD, Brisbane",8.6,Fabulous ,43 reviews,1.3 km from centre,Not Travel Sustainable,"Located in centre of Brisbane, SK2 - CHARMING Skyline CBD w River Views 3 BR Private Apartment features accommodation with an outdoor swimming pool, river views, as well as a fitness centre and a..."
165,South Bank River and City view Apartment,"South Brisbane, Brisbane",8.0,Very good ,29 reviews,0.7 km from centre,Not Travel Sustainable,"Situated in Brisbane, 600 metres from South Brisbane Station, 800 metres from Brisbane Convention & Exhibition Centre and 1.1 km from South Bank Parklands, South Bank River and City view Apartment..."
166,The Wellington Apartment Hotel,"Kangaroo Point, Brisbane",8.3,Very good ,346 reviews,2.2 km from centre,Not Travel Sustainable,"Situated in Kangaroo Point, Wellington Apartment Hotel is just a few minutes from Brisbane CBD via car or public transport. "
167,LUXURY LIVING IN A 2-BEDROOM PERFECT HOME,"Brisbane CBD, Brisbane",8.1,Very good ,25 reviews,0.7 km from centre,Not Travel Sustainable,"Well located in the centre of Brisbane, LUXURY LIVING IN A 2-BEDROOM PERFECT HOME offers city views and a fitness centre, as well as a restaurant. "
168,Fortitude Valley Apartments by CLLIX,"Fortitude Valley, Brisbane",7.9,Good ,573 reviews,1.8 km from centre,Travel Sustainable,"Situated in Brisbane, Fortitude Valley Apartments by CLLIX provides free WiFi, 500 metres from Brisbane Showgrounds and less than 1 km from New Farm Riverwalk. "
169,Utopia Apartments by Serain Residences,"Fortitude Valley, Brisbane",7.6,Good ,27 reviews,2 km from centre,Not Travel Sustainable,"Located in Brisbane, within 1.1 km of New Farm Riverwalk and less than 1 km of Brisbane Showgrounds, Utopia Apartments by Serain Residences offers accommodation with free WiFi, air conditioning, an..."
170,51 CityVibes by Stylish Stays,"Brisbane CBD, Brisbane",9.1,Superb ,10 reviews,0.7 km from centre,Not Travel Sustainable,"Located less than 1 km from Brisbane Central Station, 51 CityVibes by Stylish Stays provides accommodation in Brisbane with access to an indoor pool. "
171,Inner city 1 bedroom Apartment with Rooftop pool and Parking - Serain Residences,Brisbane,8.9,Fabulous ,11 reviews,2.7 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region, Inner city 1 bedroom Apartment with Rooftop pool and Parking - Serain Residences features a balcony. "
172,Quest Kelvin Grove,Brisbane,8.2,Very good ,201 reviews,1.7 km from centre,Not Travel Sustainable,"The 4.5-star Quest Kelvin Grove offers a home away from home experience, together with a BBQ area, fitness centre and an outdoor swimming pool. "
173,Park Avenue Townhouse Retreat Brisbane Sleeps 10,"Auchenflower, Brisbane",8.2,Very good ,22 reviews,3 km from centre,Not Travel Sustainable,"Boasting garden views, Park Avenue Townhouse Retreat Brisbane Sleeps 10 provides accommodation with a terrace and a balcony, around 3.6 km from Brisbane Convention & Exhibition Centre. "
174,SPIRE Residence on Queen CBD,"Brisbane CBD, Brisbane",8.7,Fabulous ,29 reviews,1.1 km from centre,Not Travel Sustainable,"Set in Brisbane, less than 1 km from Brisbane Central Station, SPIRE Residence on Queen CBD offers accommodation with a fitness centre, free WiFi, a shared kitchen, and a shared lounge. "
175,"Woolloongabba, comfortable, modern, private studio","Woolloongabba, Brisbane",8.4,Very good ,17 reviews,2.6 km from centre,Not Travel Sustainable,"Featuring a balcony with garden views, a garden and a terrace, Woolloongabba, comfortable, modern, private studio can be found in Brisbane, close to Boggo Road Gaol and 1.1 km from The Gabba -..."
176,Southbank Heart+2 Bed+Balcony+Pool+Gym+Free Wifi,"South Brisbane, Brisbane",9.2,Superb ,16 reviews,1.4 km from centre,Not Travel Sustainable,"Situated in the South Brisbane district of Brisbane, Southbank Heart+2 Bed+Balcony+Pool+Gym+Free Wifi features accommodation with a private pool and a shared lounge. "
177,Arena Convenient 2 Bedroom,"South Brisbane, Brisbane",8.4,Very good ,20 reviews,1.2 km from centre,Not Travel Sustainable,"Featuring mountain views, Arena Convenient 2 Bedroom offers accommodation with a patio, around less than 1 km from Queensland Performing Arts Complex (QPAC). "
178,Atrio Apartments,"Fortitude Valley, Brisbane",7.9,Good ,491 reviews,1.9 km from centre,Travel Sustainable,"Just a 5-minute walk from the Brisbane River and Story Bridge, Atrio Apartments offers self-contained apartments with fully equipped kitchens and private balconies. "
179,Aspley Carsel Motor Inn,"Carseldine, Brisbane",8.2,Very good ,814 reviews,13 km from centre,Travel Sustainable,"Offering free Wi-Fi, an outdoor pool and BBQ facilities, Aspley Carsel Motor Inn is located in north Brisbane, a 10-minute drive from Westfield Chermside Shopping Centre. "
180,Maple Villa - The Beach House by the bay,Brisbane,8.6,Fabulous ,12 reviews,15.5 km from centre,Not Travel Sustainable,"Featuring pool views, Maple Villa - The Beach House by the bay offers accommodation with a balcony and a kettle, around 18 km from Story Bridge. "
181,The Sky House by the bay,Brisbane,7.8,Good ,6 reviews,15.5 km from centre,Not Travel Sustainable,"Located in Brisbane, 17 km from The Gabba - Brisbane Cricket Ground and 18 km from Story Bridge, The Sky House by the bay provides accommodation with free WiFi, air conditioning and a terrace. "
182,G3 Apartment,Brisbane,7.7,Good ,334 reviews,11.4 km from centre,Travel Sustainable,"Located 10 km from Boggo Road Gaol, G3 Apartment offers a terrace, and air-conditioned accommodation with a balcony and free WiFi. "
183,"Lovely 2 Bedroom unit Pool,Gym workspace & more","Fortitude Valley, Brisbane",9.1,Superb ,20 reviews,2 km from centre,Not Travel Sustainable,"Located in Brisbane, just 400 metres from Brisbane Showgrounds, Lovely 2 Bedroom unit Pool, Gym workspace & more provides accommodation with an outdoor swimming pool, a fitness centre and free WiFi. "
184,Shevlin Apartments,"Brisbane CBD, Brisbane",7.9,Good ,32 reviews,1.2 km from centre,Not Travel Sustainable,"Located 500 metres from Story Bridge in Brisbane, this apartment features an outdoor pool. The apartment is 700 metres from Queen Street Mall. Free WiFi is offered throughout the property. "
185,Family Home -Best Of South Bank with Car Park,"South Brisbane, Brisbane",7.4,Good ,17 reviews,1.4 km from centre,Not Travel Sustainable,"Boasting an outdoor swimming pool, a fitness centre, a garden and a terrace, Family Home -Best Of South Bank with Car Park is situated in the South Brisbane district of Brisbane, only 200 metres from..."
186,"voco Brisbane City Centre, an IHG Hotel","Brisbane CBD, Brisbane",8.2,Very good ,373 reviews,100 m from centre,Travel Sustainable,"Overlooking Brisbane River and Southbank Parklands, voco Brisbane City Centre, an IHG Hotel, features a swimming pool, sauna and restaurant. "
187,Handford Gardens,Brisbane,6.6,Review score ,16 reviews,14 km from centre,Not Travel Sustainable,"Handford Gardens is situated in Brisbane, 13 km from Brisbane Showgrounds, and features a patio, garden, and free WiFi. "
188,Capri by Fraser Brisbane,"Brisbane CBD, Brisbane",8.1,Very good ,"1,817 reviews",0.6 km from centre,Travel Sustainable,"Capri by Fraser Brisbane features an indoor swimming pool, a sauna, and a 24/7 fitness centre. "
189,"Spacious 3 Bed City Apt with Car Park, Pool & Gym","Brisbane CBD, Brisbane",8.3,Very good ,21 reviews,0.5 km from centre,Not Travel Sustainable,"Situated in centre of Brisbane, Spacious 3 Bed City Apt with Car Park, Pool & Gym has accommodation with an outdoor swimming pool, city views, as well as a fitness centre and a terrace. "
190,Rose'n Daves Guest House,Brisbane,8.2,Very good ,36 reviews,23.7 km from centre,Travel Sustainable,"Rose'n Daves Guest House, a property with a garden and a terrace, is situated in Brisbane, 24 km from Brisbane Showgrounds, 26 km from Roma Street Parklands, as well as 26 km from New Farm Riverwalk. "
191,Arena Apartments by CLLIX,"South Brisbane, Brisbane",8.0,Very good ,"1,385 reviews",1.2 km from centre,Travel Sustainable,"Located just metres from the West End's cafes and dining options, Arena Apartments by CLLIX boasts free WiFi, an outdoor pool and a fitness centre. Each modern apartment features a balcony or terrace...."
192,Alex Perry Hotel & Apartments,"Fortitude Valley, Brisbane",8.4,Very good ,83 reviews,2.5 km from centre,Travel Sustainable,"Couture lifestyle meets intelligent luxury in the Alex Perry Hotel & Apartments, situated in the Brisbane Fortitude Valley. "
193,Atlas Apartments by CLLIX,"South Brisbane, Brisbane",8.0,Very good ,"2,023 reviews",1 km from centre,Travel Sustainable,"Located in Brisbane in the Queensland region, with Brisbane Convention & Exhibition Centre and Queensland Performing Arts Complex (QPAC) nearby, Atlas Apartments by CLLIX provides accommodation with ..."
194,AirTrip Apartment on Hope Street,"South Brisbane, Brisbane",7.1,Good ,42 reviews,0.7 km from centre,Not Travel Sustainable,"Situated in Brisbane in the Queensland region and Queensland Performing Arts Complex (QPAC) reachable within 600 metres, AirTrip Apartment on Hope Street features accommodation with free WiFi, BBQ..."
195,Toowong Central Motel Apartments,"Toowong, Brisbane",8.4,Very good ,499 reviews,3.5 km from centre,Not Travel Sustainable,"Offering fully-serviced, self-contained studio apartments with free unlimited WiFi, Toowong Central Motel Apartments is 2 minutes' walk from bus stops and Toowong Railway Station. "
196,St Johns Apartment 3 Bed 2.5 Bath 2 CarPark Brisbane CBD,"Brisbane CBD, Brisbane",8.6,Fabulous ,17 reviews,1.1 km from centre,Not Travel Sustainable,"Conveniently situated in the centre of Brisbane, St Johns Apartment 3 Bed 2.5 Bath 2 CarPark Brisbane CBD offers garden views and a garden. "
197,Inner City Haven Enviro-Luxury,"Spring Hill, Brisbane",9.2,Superb ,18 reviews,1.1 km from centre,Travel Sustainable,"Inner City Haven Enviro-Luxury in Brisbane features accommodation with free WiFi, 900 metres from Queen Street Mall. The property is 1.4 km from Story Bridge. "
198,Fantastic City Location just off Queen Street Mall,"Brisbane CBD, Brisbane",8.1,Very good ,9 reviews,0.5 km from centre,Not Travel Sustainable,"Set 500 metres from Queen Street Mall, 600 metres from City Botanical Gardens and 700 metres from Queensland Performing Arts Complex (QPAC), Fantastic City Location just off Queen Street Mall provides..."
199,Hope Street Apartments by CLLIX,"South Brisbane, Brisbane",7.8,Good ,567 reviews,0.7 km from centre,Travel Sustainable,"Situated less than 1 km from Queensland Performing Arts Complex (QPAC), Hope Street Apartments by CLLIX provides accommodation with an outdoor swimming pool, a fitness centre and luggage storage space..."
200,Brisbane City Apartments (Central Station),"Brisbane CBD, Brisbane",8.2,Very good ,54 reviews,500 m from centre,Travel Sustainable,"Located 200 metres from Queen Street Mall, Brisbane City Apartments (Central Station) is set in the Brisbane CBD. Guests staying at this apartment have access to a fully equipped kitchen and free..."
201,Coorparoo Comfort Apartment,"Coorparoo, Brisbane",8.7,Fabulous ,12 reviews,5.1 km from centre,Travel Sustainable,"Coorparoo Comfort Apartment is situated in the Coorparoo district of Brisbane, 3.7 km from The Gabba - Brisbane Cricket Ground, 4.9 km from Boggo Road Gaol and 5.1 km from Southbank Station. "
202,Kirribilli Apartments,"New Farm, Brisbane",7.9,Good ,75 reviews,2.3 km from centre,Not Travel Sustainable,"Kirribilli Apartments are located at New Farm, just 5 km from the Brisbane CBD. The complex offers a peaceful and quiet of a riverfront parkland setting. Free parking is available. "
203,Apartment Newstead Central,"Fortitude Valley, Brisbane",7.5,Good ,12 reviews,2.7 km from centre,Not Travel Sustainable,"Apartment Newstead Central is located in the Newstead district of Brisbane, 1.7 km from New Farm Riverwalk, 2.2 km from Brisbane Central Station and 2.7 km from Brisbane Powerhouse. "
204,"Luxe Sub-Penthouse w/ King Bed, Views & 1 Car Park","South Brisbane, Brisbane",6.8,Review score ,13 reviews,1.4 km from centre,Not Travel Sustainable,"Offering garden views, Luxe Sub-Penthouse w/ King Bed, Views & 1 Car Park is an accommodation situated in Brisbane, 700 metres from Southbank Station and less than 1 km from South Bank Parklands. "
205,Keeping Cool on Connor - Executive 2BR Fortitude Valley apartment with pool and views,"Fortitude Valley, Brisbane",7.5,Good ,13 reviews,2.1 km from centre,Not Travel Sustainable,"Set in Brisbane, less than 1 km from New Farm Riverwalk, a 12-minute walk from Brisbane Showgrounds and 1.8 km from Brisbane Central Station, Keeping Cool on Connor - Executive 2BR Fortitude Valley..."
206,The Sedgebrook On Leichhardt,"Spring Hill, Brisbane",8.0,Very good ,137 reviews,0.8 km from centre,Not Travel Sustainable,"The Sedgebrook On Leichhardt offers modern fully-furnished apartments, each with a large private balcony offering views of the Brisbane city skyline. "
207,Central Cottage,"Toowong, Brisbane",8.5,Very good ,23 reviews,3.8 km from centre,Not Travel Sustainable,"Situated in Brisbane, within 3.3 km of University of Queensland - St Lucia and 3.7 km of Suncorp Stadium, Central Cottage offers accommodation with free WiFi, air conditioning, a garden and a shared..."
208,Rivercity Apartments Brisbane City,"Brisbane CBD, Brisbane",8.1,Very good ,45 reviews,0.6 km from centre,Travel Sustainable,"In a prime location in the centre of Brisbane, Rivercity Apartments Brisbane City offers a balcony. "
209,Modern Designers Pad by Serain Residences,"South Brisbane, Brisbane",7.7,Good ,68 reviews,1.3 km from centre,Not Travel Sustainable,"Modern Designers Pad by Serain Residences, a property with an outdoor swimming pool and a terrace, is set in Brisbane, a few steps from Southbank Station, 500 metres from South Bank Parklands, as well..."
210,FV by Peppers,"Fortitude Valley, Brisbane",7.9,Good ,"1,023 reviews",1.7 km from centre,Travel Sustainable,"Located in the heart of one of Brisbane’s most vibrant and cosmopolitan entertainment precincts, Fortitude Valley, FV by Peppers boasts a heated u-shaped skyline pool and state-of-the-art gym. "
211,Spring Hill Gardens Apartments,"Spring Hill, Brisbane",7.8,Good ,69 reviews,1 km from centre,Not Travel Sustainable,Spring Hill Gardens offers self-contained apartments with a saltwater swimming pool. All apartments feature a courtyard or balcony overlooking tropical gardens. Guests enjoy unlimited free WiFi. 
212,Airtrip Apartments At Bowen Hills,"Fortitude Valley, Brisbane",6.8,Review score ,9 reviews,1.9 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region, Airtrip Apartments At Bowen Hills is a 4-star property featuring free WiFi. The 4-star apartment is 1.1 km from New Farm Riverwalk. "
213,Brisbane City Apartments (Tank St CBD),"Brisbane CBD, Brisbane",7.9,Good ,38 reviews,250 m from centre,Travel Sustainable,"Located 480 metres from Treasury Building - Casino in Brisbane, this apartment features an outdoor pool. The apartment is 520 metres from Queen Street Mall. Free WiFi is available . "
214,Luxury Central Apartment,"Spring Hill, Brisbane",7.6,Good ,12 reviews,1 km from centre,Travel Sustainable,"Featuring an outdoor swimming pool, a fitness centre, a terrace and a restaurant, Luxury Central Apartment is located in the Spring Hill district of Brisbane, only less than 1 km from Roma Street..."
215,Brisbane Quarters,"Spring Hill, Brisbane",8.1,Very good ,"1,406 reviews",0.7 km from centre,Not Travel Sustainable,"Situated in Brisbane and with Roma Street Parklands reachable within 1 km, Brisbane Quarters features an outdoor swimming pool, non-smoking rooms, free WiFi throughout the property and a shared..."
216,Lucid Apartment South Brisbane,"South Brisbane, Brisbane",7.4,Good ,95 reviews,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 500 metres from Queensland Performing Arts Complex (QPAC) and 500 metres from South Brisbane Station, Lucid Apartment South Brisbane offers accommodation with free WiFi, air..."
217,SK1 - 2 level 2 Bedroom Skyline SkyHome,"Brisbane CBD, Brisbane",7.7,Good ,28 reviews,1.3 km from centre,Not Travel Sustainable,"Situated conveniently in the heart of Brisbane, SK1 - 2 level 2 Bedroom Skyline SkyHome offers city views and a fitness centre, as well as barbecue facilities. "
218,LagunaApartment near James Street,"Fortitude Valley, Brisbane",6.3,Review score ,14 reviews,2.8 km from centre,Not Travel Sustainable,"Set in Brisbane, 1.3 km from Brisbane Showgrounds and 1.7 km from New Farm Riverwalk, LagunaApartment near James Street offers free WiFi, a terrace and air conditioning. "
219,Mantra Terrace Hotel,"Spring Hill, Brisbane",7.9,Good ,497 reviews,0.8 km from centre,Travel Sustainable,"Mantra Terrace Hotel Brisbane is a contemporary boutique hotel in the heart of Brisbane, less than 500 metres from Central Station. It offers rooms with a 40-inch LCD HD TV. "
220,Airtrip Apartments on Cordelia St,"South Brisbane, Brisbane",6.2,Review score ,19 reviews,0.9 km from centre,Not Travel Sustainable,"Situated in Brisbane, near Brisbane Convention & Exhibition Centre, Queensland Performing Arts Complex (QPAC) and South Brisbane Station, Airtrip Apartments on Cordelia St features free WiFi, and..."
221,AirTrip Apartments at South Brisbane,"South Brisbane, Brisbane",7.2,Good ,76 reviews,0.7 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region and Queensland Performing Arts Complex (QPAC) reachable within 500 metres, AirTrip Apartments at South Brisbane provides accommodation with free WiFi, BBQ..."
222,Luxurious Central Apartment w/ Free Park and Pool,"Fortitude Valley, Brisbane",6.5,Review score ,20 reviews,1.6 km from centre,Not Travel Sustainable,"Situated in Brisbane, within 1.2 km of Brisbane Showgrounds and 1.3 km of Brisbane Central Station, Luxurious Central Apartment w/ Free Park and Pool offers accommodation with free WiFi, air..."
223,Four Points by Sheraton Brisbane,"Brisbane CBD, Brisbane",7.9,Good ,796 reviews,0.7 km from centre,Travel Sustainable,"Located 500 metres from Eagle Street Pier Ferry Terminal and Queen Street Mall, Four Points by Sheraton Brisbane offers a restaurant and a fitness centre. "
224,Brisbane Street Studios,"Annerley, Brisbane",7.9,Good ,269 reviews,3.8 km from centre,Not Travel Sustainable,"Offering modern self-contained accommodation with free WiFi, Brisbane Street Studios in the suburb of Annerley are just 5 minutes’ walk from Dutton Park Train Station and 5km from Brisbane city..."
225,Brisbane City Apartments (Albert St CBD),"Brisbane CBD, Brisbane",8.4,Very good ,83 reviews,0.5 km from centre,Travel Sustainable,"Situated 300 metres from the centre of Brisbane, 300 metres from Queen Street Mall, Brisbane City Apartments (Albert St CBD) features air-conditioned accommodation with a terrace, a restaurant and a..."
226,The Oasis Apartments,"Auchenflower, Brisbane",7.7,Good ,600 reviews,2.4 km from centre,Not Travel Sustainable,"Located along the Brisbane River, just 9 minutes' walk from Auchenflower Town Centre, The Oasis Apartments boasts a swimming pool, a tennis court and a Swedish sauna. "
227,Iconic & Central Inner City Apartment w/ FREE PARK,"Brisbane CBD, Brisbane",7.6,Good ,34 reviews,1.1 km from centre,Not Travel Sustainable,"Located in Brisbane and only 800 metres from Brisbane Central Station, Iconic & Central Inner City Apartment w/ FREE PARK provides accommodation with garden views, free WiFi and free private parking. "
228,South Bank Beautiful river view Tower,"South Brisbane, Brisbane",7.2,Good ,94 reviews,0.7 km from centre,Not Travel Sustainable,"Situated in Brisbane in the Queensland region, with Queensland Performing Arts Complex (QPAC) and South Brisbane Station nearby, South Bank Beautiful river view Tower features accommodation with free..."
229,Quest South Brisbane,"South Brisbane, Brisbane",8.1,Very good ,644 reviews,1.8 km from centre,Travel Sustainable,"Set within 950 metres of Gabba Brisbane Cricket Ground in Brisbane, Quest South Brisbane provides accommodation with free WiFi. "
230,"Luxe Sub-Penthouse w/ King Bed, Views & 1 Car Park","South Brisbane, Brisbane",6.8,Review score ,13 reviews,1.4 km from centre,Not Travel Sustainable,"Offering garden views, Luxe Sub-Penthouse w/ King Bed, Views & 1 Car Park is an accommodation situated in Brisbane, 700 metres from Southbank Station and less than 1 km from South Bank Parklands. "
231,The Sedgebrook On Leichhardt,"Spring Hill, Brisbane",8.0,Very good ,137 reviews,0.8 km from centre,Not Travel Sustainable,"The Sedgebrook On Leichhardt offers modern fully-furnished apartments, each with a large private balcony offering views of the Brisbane city skyline. "
232,Central Cottage,"Toowong, Brisbane",8.5,Very good ,23 reviews,3.8 km from centre,Not Travel Sustainable,"Situated in Brisbane, within 3.3 km of University of Queensland - St Lucia and 3.7 km of Suncorp Stadium, Central Cottage offers accommodation with free WiFi, air conditioning, a garden and a shared..."
233,Rivercity Apartments Brisbane City,"Brisbane CBD, Brisbane",8.1,Very good ,45 reviews,0.6 km from centre,Travel Sustainable,"In a prime location in the centre of Brisbane, Rivercity Apartments Brisbane City offers a balcony. "
234,Modern Designers Pad by Serain Residences,"South Brisbane, Brisbane",7.7,Good ,68 reviews,1.3 km from centre,Not Travel Sustainable,"Modern Designers Pad by Serain Residences, a property with an outdoor swimming pool and a terrace, is set in Brisbane, a few steps from Southbank Station, 500 metres from South Bank Parklands, as well..."
235,FV by Peppers,"Fortitude Valley, Brisbane",7.9,Good ,"1,023 reviews",1.7 km from centre,Travel Sustainable,"Located in the heart of one of Brisbane’s most vibrant and cosmopolitan entertainment precincts, Fortitude Valley, FV by Peppers boasts a heated u-shaped skyline pool and state-of-the-art gym. "
236,Spring Hill Gardens Apartments,"Spring Hill, Brisbane",7.8,Good ,69 reviews,1 km from centre,Not Travel Sustainable,Spring Hill Gardens offers self-contained apartments with a saltwater swimming pool. All apartments feature a courtyard or balcony overlooking tropical gardens. Guests enjoy unlimited free WiFi. 
237,Airtrip Apartments At Bowen Hills,"Fortitude Valley, Brisbane",6.8,Review score ,9 reviews,1.9 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region, Airtrip Apartments At Bowen Hills is a 4-star property featuring free WiFi. The 4-star apartment is 1.1 km from New Farm Riverwalk. "
238,Brisbane City Apartments (Tank St CBD),"Brisbane CBD, Brisbane",7.9,Good ,38 reviews,250 m from centre,Travel Sustainable,"Located 480 metres from Treasury Building - Casino in Brisbane, this apartment features an outdoor pool. The apartment is 520 metres from Queen Street Mall. Free WiFi is available . "
239,Luxury Central Apartment,"Spring Hill, Brisbane",7.6,Good ,12 reviews,1 km from centre,Travel Sustainable,"Featuring an outdoor swimming pool, a fitness centre, a terrace and a restaurant, Luxury Central Apartment is located in the Spring Hill district of Brisbane, only less than 1 km from Roma Street..."
240,Brisbane Quarters,"Spring Hill, Brisbane",8.1,Very good ,"1,406 reviews",0.7 km from centre,Not Travel Sustainable,"Situated in Brisbane and with Roma Street Parklands reachable within 1 km, Brisbane Quarters features an outdoor swimming pool, non-smoking rooms, free WiFi throughout the property and a shared..."
241,Lucid Apartment South Brisbane,"South Brisbane, Brisbane",7.4,Good ,95 reviews,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 500 metres from Queensland Performing Arts Complex (QPAC) and 500 metres from South Brisbane Station, Lucid Apartment South Brisbane offers accommodation with free WiFi, air..."
242,SK1 - 2 level 2 Bedroom Skyline SkyHome,"Brisbane CBD, Brisbane",7.7,Good ,28 reviews,1.3 km from centre,Not Travel Sustainable,"Situated conveniently in the heart of Brisbane, SK1 - 2 level 2 Bedroom Skyline SkyHome offers city views and a fitness centre, as well as barbecue facilities. "
243,LagunaApartment near James Street,"Fortitude Valley, Brisbane",6.3,Review score ,14 reviews,2.8 km from centre,Not Travel Sustainable,"Set in Brisbane, 1.3 km from Brisbane Showgrounds and 1.7 km from New Farm Riverwalk, LagunaApartment near James Street offers free WiFi, a terrace and air conditioning. "
244,Mantra Terrace Hotel,"Spring Hill, Brisbane",7.9,Good ,497 reviews,0.8 km from centre,Travel Sustainable,"Mantra Terrace Hotel Brisbane is a contemporary boutique hotel in the heart of Brisbane, less than 500 metres from Central Station. It offers rooms with a 40-inch LCD HD TV. "
245,Airtrip Apartments on Cordelia St,"South Brisbane, Brisbane",6.2,Review score ,19 reviews,0.9 km from centre,Not Travel Sustainable,"Situated in Brisbane, near Brisbane Convention & Exhibition Centre, Queensland Performing Arts Complex (QPAC) and South Brisbane Station, Airtrip Apartments on Cordelia St features free WiFi, and..."
246,AirTrip Apartments at South Brisbane,"South Brisbane, Brisbane",7.2,Good ,76 reviews,0.7 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region and Queensland Performing Arts Complex (QPAC) reachable within 500 metres, AirTrip Apartments at South Brisbane provides accommodation with free WiFi, BBQ..."
247,Luxurious Central Apartment w/ Free Park and Pool,"Fortitude Valley, Brisbane",6.5,Review score ,20 reviews,1.6 km from centre,Not Travel Sustainable,"Situated in Brisbane, within 1.2 km of Brisbane Showgrounds and 1.3 km of Brisbane Central Station, Luxurious Central Apartment w/ Free Park and Pool offers accommodation with free WiFi, air..."
248,Four Points by Sheraton Brisbane,"Brisbane CBD, Brisbane",7.9,Good ,796 reviews,0.7 km from centre,Travel Sustainable,"Located 500 metres from Eagle Street Pier Ferry Terminal and Queen Street Mall, Four Points by Sheraton Brisbane offers a restaurant and a fitness centre. "
249,Brisbane Street Studios,"Annerley, Brisbane",7.9,Good ,269 reviews,3.8 km from centre,Not Travel Sustainable,"Offering modern self-contained accommodation with free WiFi, Brisbane Street Studios in the suburb of Annerley are just 5 minutes’ walk from Dutton Park Train Station and 5km from Brisbane city..."
250,Brisbane City Apartments (Albert St CBD),"Brisbane CBD, Brisbane",8.4,Very good ,83 reviews,0.5 km from centre,Travel Sustainable,"Situated 300 metres from the centre of Brisbane, 300 metres from Queen Street Mall, Brisbane City Apartments (Albert St CBD) features air-conditioned accommodation with a terrace, a restaurant and a..."
251,The Oasis Apartments,"Auchenflower, Brisbane",7.7,Good ,600 reviews,2.4 km from centre,Not Travel Sustainable,"Located along the Brisbane River, just 9 minutes' walk from Auchenflower Town Centre, The Oasis Apartments boasts a swimming pool, a tennis court and a Swedish sauna. "
252,Iconic & Central Inner City Apartment w/ FREE PARK,"Brisbane CBD, Brisbane",7.6,Good ,34 reviews,1.1 km from centre,Not Travel Sustainable,"Located in Brisbane and only 800 metres from Brisbane Central Station, Iconic & Central Inner City Apartment w/ FREE PARK provides accommodation with garden views, free WiFi and free private parking. "
253,South Bank Beautiful river view Tower,"South Brisbane, Brisbane",7.2,Good ,94 reviews,0.7 km from centre,Not Travel Sustainable,"Situated in Brisbane in the Queensland region, with Queensland Performing Arts Complex (QPAC) and South Brisbane Station nearby, South Bank Beautiful river view Tower features accommodation with free..."
254,Quest South Brisbane,"South Brisbane, Brisbane",8.1,Very good ,644 reviews,1.8 km from centre,Travel Sustainable,"Set within 950 metres of Gabba Brisbane Cricket Ground in Brisbane, Quest South Brisbane provides accommodation with free WiFi. "
255,Oaks Brisbane on Margaret Suites,"Brisbane CBD, Brisbane",8.1,Very good ,942 reviews,0.7 km from centre,Travel Sustainable,"Located next to the Brisbane Botanical Gardens and overlooking the Brisbane River, Oaks Brisbane on Margaret Suites features self-catering accommodation with a private balcony. "
256,Frisco Apartments,"Spring Hill, Brisbane",7.8,Good ,170 reviews,1 km from centre,Not Travel Sustainable,"This property is 5 minutes walk from the riverside. Featuring free Wi-Fi, free parking, Frisco Apartments are just 250 metres from Central Railway Station. "
257,Isla House Greenslopes,Brisbane,8.0,Very good ,215 reviews,4.7 km from centre,Not Travel Sustainable,"Offering free Wi-Fi, a BBQ area and a free shuttle service to and from local hospitals on weekdays, Isla House is just 10 minutes’ drive from Roma Street Train Station. "
258,Queensport Tavern And Motel,Brisbane,8.1,Very good ,252 reviews,11.2 km from centre,Travel Sustainable,"Located in Brisbane, 13 km from The Gabba - Brisbane Cricket Ground, Queensport Tavern And Motel provides accommodation with a restaurant, free private parking and a bar. "
